Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Youtube viewcount,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations,artist popularity,TopSongsArtist,TopSongsArtist10,TopSongsArtist100
Hearts Of Stone,THE BLUE RIDGE RANGERS,3/31/73,84,37,12,17,172739,0.695,0.568,11,-8.164,1,0.0915,0.843,0,0.0905,0.73,76.488,154200,4,0,0,0,0,0,57.77835159,0,0,2
Ground Hog,BROWNS,4/10/61,100,97,3,4,8892,0.68,0.483,2,-11.154,1,0.0261,0.418,0,0.0735,0.919,96.93,133987,4,0,0,0,0,4,30,0,0,1
Gidget Goes Hawaiian,DUANE EDDY,4/3/61,105,101,2,3,2350,0.596,0.655,7,-11.685,1,0.0272,0.596,0.832,0.0598,0.925,93.779,139667,4,0,0,0,1,2,47,0,2,14
(Theme From) The Great Imposter,HENRY MANCINI AND HIS ORCHESTRA,3/13/61,115,90,5,4,5405,0.452,0.488,9,-10.255,1,0.032,0.487,0.00907,0.31,0.203,84.627,169067,4,0,0,1,20,72,57.77835159,1,0,6
Be My Boy,PARIS SISTERS,4/10/61,105,56,7,5,46291,0.173,0.101,1,-16.909,1,0.0424,0.904,6.39E-05,0.113,0.211,184.768,118960,3,0,0,0,0,1,32,0,0,1
Love Or Money,THE BLACKWELLS,4/10/61,107,107,1,0,6998,0.5,0.688,1,-7.674,0,0.0378,0.664,0,0.223,0.858,131.843,147400,4,0,0,0,0,0,2,0,0,0
You Set My Heart To Music,JOHNNY MATHIS,4/10/61,109,107,2,2,25217,0.199,0.352,0,-11.861,1,0.0324,0.875,0,0.168,0.198,84.192,163560,3,0,0,1,0,1,63,0,2,17
African Waltz,JOHNNY DANKWORTH,4/10/61,111,101,4,4,44139,0.5,0.53,3,-9.656,1,0.035,0.125,0.043,0.307,0.896,118.773,142120,3,0,0,0,0,1,26,0,0,0
Hop Scotch,SANTO &amp; JOHNNY,4/10/61,112,90,3,4,2395,0.46,0.63,7,-13.023,1,0.0342,0.653,0.518,0.112,0.774,178.282,119680,4,0,0,0,0,0,54,1,0,3
Three Little Fishes,BUZZ CLIFFORD,4/10/61,113,102,4,1,11124,0.486,0.835,8,-9.667,1,0.0546,0.745,3.59E-06,0.185,0.633,134.012,151240,4,0,0,0,0,0,16,0,1,0
"Little Girl, Little Boy",AL MARTINO,3/13/61,114,109,5,0,12975,0.55,0.424,11,-12.614,0,0.0813,0.596,0,0.224,0.695,126.729,132627,5,0,0,0,0,0,57.77835159,0,2,19
Pony Train,TITUS TURNER,4/10/61,115,115,1,0,2922,0.417,0.895,0,-6.079,1,0.225,0.765,2.05E-06,0.339,0.874,160.363,149200,4,0,0,0,0,0,15,0,0,2
Girl Of My Best Friend,RAL DONNER,4/10/61,116,19,12,12,38901,0.658,0.218,1,-15.838,0,0.038,0.87,3.57E-06,0.129,0.724,134.671,137467,4,0,0,0,0,0,19,0,1,2
Tragedy,FLEETWOODS,4/10/61,117,10,13,25,64028,0.482,0.124,1,-21.775,1,0.0321,0.658,0.00814,0.125,0.287,181.061,166160,3,0,0,0,0,0,45,2,1,2
Jenny,JOHNNY MATHIS,4/10/61,118,118,1,1,4322,0.286,0.176,1,-15.194,1,0.0316,0.957,4.86E-06,0.104,0.207,81.115,174573,4,0,0,1,0,1,63,0,2,17
Halfway To Paradise,TONY ORLANDO,4/10/61,119,39,11,8,164333,0.448,0.408,4,-5.941,1,0.0328,0.464,0,0.0825,0.616,116.866,162627,4,0,0,0,0,1,49,0,0,3
My Kind Of Girl,MATT MONRO,4/10/61,120,18,21,20,110770,0.616,0.185,5,-14.1,1,0.0391,0.56,0,0.157,0.413,130.849,177600,4,0,0,0,0,0,54,0,0,1
I'm Telling You Now,FREDDIE AND THE DREAMERS,3/13/65,71,1,11,25,340019,0.605,0.699,3,-6.875,1,0.0317,0.378,0,0.305,0.891,71.38,128907,4,1,0,0,0,0,35,1,0,3
Stop! In The Name Of Love,GLEE CAST,11/27/10,38,38,1,39,4439787,0.648,0.767,5,-5.105,0,0.0359,0.0282,0,0.0357,0.646,119.987,209787,4,0,0,0,0,1,81,0,1,70
Can't You Hear My Heartbeat,HERMAN'S HERMITS,1/30/65,85,2,15,33,392184,0.581,0.63,9,-7.836,1,0.0334,0.0925,0,0.0648,0.91,136.994,134840,3,0,0,0,0,0,55,2,7,8
Shotgun,JUNIOR WALKER &amp; THE ALL STARS,2/13/65,80,4,14,49,842649,0.747,0.671,1,-5.737,1,0.0332,0.181,5.24E-06,0.061,0.681,120.98,176627,4,2,0,0,0,0,58,0,1,3
The Birds And The Bees,JEWEL AKENS,1/23/65,100,3,14,12,1001547,0.756,0.538,6,-9.826,1,0.0336,0.189,0.00159,0.0421,0.973,112.129,122733,4,0,0,0,0,4,24,0,1,1
King Of The Road,ROGER MILLER,1/30/65,63,4,13,54,4879232,0.731,0.204,11,-18.934,1,0.0727,0.51,2.02E-05,0.0894,0.699,121.817,143373,4,2,0,0,11,18,57,0,5,9
Game Of Love,WAYNE FONTANA AND THE MINDBENDERS,3/13/65,117,1,12,28,528791,0.575,0.843,9,-4.298,1,0.0328,0.0946,0,0.197,0.953,109.254,127093,4,1,0,0,0,0,34,1,0,0
Nowhere To Run,SANTANA,11/27/82,79,66,8,17,43874,0.485,0.527,4,-15.904,0,0.0362,0.028,0.0334,0.302,0.622,139.029,244227,4,0,0,0,8,12,75,0,2,12
I Know A Place,PETULA CLARK,3/20/65,94,3,12,33,1043035,0.434,0.722,4,-9.637,1,0.0496,0.735,1.16E-05,0.634,0.614,137.936,162600,4,0,0,0,2,9,53,0,4,11
Red Roses For A Blue Lady,WAYNE NEWTON,2/6/65,127,23,12,17,60758,0.394,0.279,6,-11.905,1,0.0308,0.866,0,0.169,0.497,113.988,143507,4,0,0,0,0,0,46,0,1,8
Eight Days A Week,BEATLES,2/20/65,53,1,10,55,1855709,0.652,0.583,9,-7.811,1,0.038,0.412,0,0.119,0.744,138.134,163600,4,0,0,0,7,23,89,11,6,9
Do You Wanna Dance,LOVE SOCIETY,8/10/68,118,108,6,0,8400,0.862,0.521,6,-7.648,1,0.241,0.0733,0,0.127,0.705,97.023,219520,4,0,0,0,0,0,57.77835159,0,0,0
Tired Of Waiting For You,KINKS,3/6/65,114,6,12,43,1079414,0.674,0.702,0,-9.723,1,0.0354,0.419,0,0.249,0.871,122.096,149880,4,0,0,0,0,0,72,0,3,6
Goldfinger,JACK LaFORGE ORCHESTRA,1/16/65,119,96,8,1,78116,0.683,0.904,9,-4.394,1,0.0327,0.0856,0,0.263,0.922,138.071,173600,4,0,0,0,0,0,57.77835159,0,0,1
Go Now,MOODY BLUES,2/13/65,130,10,15,38,653185,0.334,0.474,5,-11.959,0,0.0373,0.586,0,0.144,0.635,118.248,191200,3,1,0,0,0,0,64,0,2,5
The Race Is On,JACK JONES,2/20/65,129,15,12,10,22293,0.576,0.784,6,-7.951,1,0.039,0.729,0,0.123,0.932,91.259,107827,3,0,0,0,2,5,46,0,0,8
Long Lonely Nights,BOBBY VINTON,3/6/65,80,17,7,35,25090,0.295,0.365,0,-8.91,1,0.0296,0.836,0,0.0699,0.268,77.951,148760,4,0,0,0,0,1,57,3,3,16
Ferry Cross The Mersey,GERRY AND THE PACEMAKERS,2/6/65,61,6,11,45,5315458,0.405,0.365,6,-10.226,0,0.0289,0.255,4.68E-06,0.163,0.588,104.536,141987,4,0,0,0,0,0,52,0,3,3
The Clapping Song,SHIRLEY ELLIS,3/20/65,75,8,9,38,1571811,0.715,0.709,7,-9.296,0,0.0586,0.0929,0.0218,0.111,0.596,165.956,191187,4,0,0,0,0,0,36,0,2,3
Do The Clam,ELVIS PRESLEY,2/27/65,68,21,8,18,174602,0.692,0.63,1,-11.612,1,0.0442,0.2,6.38E-06,0.604,0.932,128.965,196680,4,0,0,1,3,14,82,2,13,48
Send Me The Pillow You Dream On,JOHNNY TILLOTSON,8/11/62,70,17,9,27,633873,0.334,0.31,2,-9.126,1,0.0295,0.703,1.27E-05,0.279,0.48,109.171,173960,4,0,0,0,0,1,49,0,3,16
If I Loved You,CHAD &amp; JEREMY,2/20/65,77,23,9,18,35659,0.496,0.421,0,-13.538,1,0.0272,0.762,0.000303,0.176,0.427,112.303,137693,3,0,0,0,0,0,39,0,0,5
I'll Be Doggone,MARVIN GAYE,3/20/65,80,8,12,29,45100,0.693,0.765,2,-6.615,1,0.0401,0.455,0,0.151,0.746,133.381,166733,4,0,0,1,2,12,78,2,9,17
